track_name,rank,date,artist_name,region,chart_type,position_change,weeks_on_chart,peak_position,previous_rank,source_type,spotify_track_id,duration,explicit,artist_id,genres,artist_count,release_date,track_id,mb_country,mb_type
#Natural,94,2018-02-12,"Paty Cantú, Juhn",Argentina,top200,MOVE_UP,14,52,83.0,charts_top200,,,,,,,,3y7XIu4NloDcCSekDbCvf6,,
#Natural,146,2018-02-19,"Paty Cantú, Juhn",Argentina,top200,MOVE_UP,14,52,94.0,charts_top200,,,,,,,,3y7XIu4NloDcCSekDbCvf6,,
#Natural,187,2018-02-26,"Paty Cantú, Juhn",Argentina,top200,MOVE_UP,14,52,146.0,charts_top200,,,,,,,,3y7XIu4NloDcCSekDbCvf6,,
#Natural,187,2018-03-05,"Paty Cantú, Juhn",Argentina,top200,MOVE_UP,14,52,187.0,charts_top200,,,,,,,,3y7XIu4NloDcCSekDbCvf6,,
#Natural,191,2018-03-12,"Paty Cantú, Juhn",Argentina,top200,NEW_ENTRY,14,52,187.0,charts_top200,,,,,,,,3y7XIu4NloDcCSekDbCvf6,,
#Ysya2020 Vol. 1 - Una de Dos,167,2020-06-22,"YSY A, CLUB HATS",Argentina,top200,NEW_ENTRY,4,99,,charts_top200,,,,,,,,7nFta4LZyL0MTDDqbjiQW2,,
#Ysya2020 Vol. 1 - Una de Dos,99,2020-06-29,"YSY A, CLUB HATS",Argentina,top200,MOVE_UP,4,99,167.0,charts_top200,,,,,,,,7nFta4LZyL0MTDDqbjiQW2,,
#Ysya2020 Vol. 1 - Una de Dos,112,2020-07-06,"YSY A, CLUB HATS",Argentina,top200,MOVE_UP,4,99,99.0,charts_top200,,,,,,,,7nFta4LZyL0MTDDqbjiQW2,,
#Ysya2020 Vol. 1 - Una de Dos,137,2020-07-13,"YSY A, CLUB HATS",Argentina,top200,MOVE_UP,4,99,112.0,charts_top200,,,,,,,,7nFta4LZyL0MTDDqbjiQW2,,
#Ysya2020 Vol. 4 - Pasa Que Yo,117,2020-10-19,"YSY A, Yesan 雪山",Argentina,top200,NEW_ENTRY,4,93,,charts_top200,,,,,,,,7qf15ZBTnAyOZX5UIWrsKj,,
#Ysya2020 Vol. 4 - Pasa Que Yo,93,2020-10-26,"YSY A, Yesan 雪山",Argentina,top200,MOVE_UP,4,93,117.0,charts_top200,,,,,,,,7qf15ZBTnAyOZX5UIWrsKj,,
#Ysya2020 Vol. 4 - Pasa Que Yo,135,2020-11-02,"YSY A, Yesan 雪山",Argentina,top200,MOVE_UP,4,93,93.0,charts_top200,,,,,,,,7qf15ZBTnAyOZX5UIWrsKj,,
#Ysya2020 Vol. 4 - Pasa Que Yo,176,2020-11-09,"YSY A, Yesan 雪山",Argentina,top200,NEW_ENTRY,4,93,135.0,charts_top200,,,,,,,,7qf15ZBTnAyOZX5UIWrsKj,,
#Ysya2020 Vol. 5 - Silbando,76,2020-10-19,"YSY A, CLUB HATS",Argentina,top200,NEW_ENTRY,5,68,,charts_top200,,,,,,,,6TI490muJ6RgFsYJc626BZ,,
#Ysya2020 Vol. 5 - Silbando,68,2020-10-26,"YSY A, CLUB HATS",Argentina,top200,MOVE_UP,5,68,76.0,charts_top200,,,,,,,,6TI490muJ6RgFsYJc626BZ,,
#Ysya2020 Vol. 5 - Silbando,83,2020-11-02,"YSY A, CLUB HATS",Argentina,top200,MOVE_UP,5,68,68.0,charts_top200,,,,,,,,6TI490muJ6RgFsYJc626BZ,,
#Ysya2020 Vol. 5 - Silbando,98,2020-11-09,"YSY A, CLUB HATS",Argentina,top200,MOVE_UP,5,68,83.0,charts_top200,,,,,,,,6TI490muJ6RgFsYJc626BZ,,
#Ysya2020 Vol. 5 - Silbando,131,2020-11-16,"YSY A, CLUB HATS",Argentina,top200,MOVE_UP,5,68,98.0,charts_top200,,,,,,,,6TI490muJ6RgFsYJc626BZ,,
#Ysya2020 Vol. 6 - Un Flow de Infarto,61,2020-10-26,"YSY A, Bizarrap",Argentina,top200,NEW_ENTRY,8,61,,charts_top200,,,,,,,,2byu6eeLWaBq88ZtusqU4V,,
#Ysya2020 Vol. 6 - Un Flow de Infarto,67,2020-11-02,"YSY A, Bizarrap",Argentina,top200,MOVE_UP,8,61,61.0,charts_top200,,,,,,,,2byu6eeLWaBq88ZtusqU4V,,
